Tür;Parça;Ölçü / açıklama;Adet;Ağırlık (kg)
İmalat;Gömlek;Boru 40x5 (iç Ø30), boy 870;1;3,75
İmalat;Dalgıç mil;Krom mil Ø20 h8, boy 1025;1;2,48
İmalat;Strok sonu halkası;Ø28x20, iki yağ düzlüğü 24, mile pimli;1;0,04
İmalat;Dip bloğu;"50x50x40 dolu, 1/4"" BSP yan giriş + Ø14 yağ yolu";1;0,74
İmalat;Ayak plakası;Lazer 80x80x10, 4xØ9 (60x60);1;0,48
İmalat;Kafa gövdesi;Ø55x35, iç Ø30 + M42x1,5 diş, gömleğe kaynaklı;1;0,33
İmalat;Kafa kapağı;"Ø55 flanş 15 + M42 boyun 25; burç, U-keçe, toz keçesi yuvalı; hava alma M6";1;0,45
İmalat;Tank;3 mm sac 180x260x180, kaynaklı;1;4,72
İmalat;Tank kapağı;Lazer 200x280x10, Ø60 pompa deliği;1;4,17
İmalat;Yağ tavası;1.5 mm sac 220x340x40 + 4 ayak Ø20x15;1;1,50
Satın alma;Motor;"IEC 71 B5 (FF130, Ø160 flanş), 0,25 kW 4 kutup (71A4), trifaze, dikey; 0,37 kW (71B4) aynı gövde";1;
Satın alma;Dişli pompa;~1 cc/dev, motor olarak da çalışabilen (çift yönlü);1;
Satın alma;Çan + kaplin;71 B5 motor (Ø160 flanş) / grup 0-1 pompa, kaplin pencereli;1;
Satın alma;Kumanda panosu;220x150x320 sac pano, acil stop, KLASİK/KONFOR seçici, ekran;1;
Satın alma;Fren direnci;İnvertöre uygun (inişte enerji burada yanar), panonun yanına;1;
Satın alma;Valf bloğu;Çek valf + oturmalı NC iniş valfi 24 V DC + emniyet valfi (59 bar) + elle acil indirme;1;
Satın alma;Manometre;0-100 bar, Ø63, gliserinli;1;
Satın alma;Basınç transmitteri;0-100 bar, 4-20 mA;1;
Satın alma;Hortum patlama valfi;"1/4"", düşük debi 1-3 L/dk ayarlı";1;
Satın alma;Keçe takımı;Bronz burç Ø20x25x20, U-keçe 20x28x5, toz keçesi 20x28x4;1;
Satın alma;Tank donanımı;Emiş süzgeci, seviye göstergesi, hava/dolum tapası + taşıma kör tapası, boşaltma tapası;1;
Satın alma;Hortum;"1/4"" ~2,5 m + rakorlar";1;
Satın alma;Yağ;HLP 32, 5 L;1;
Satın alma;İnvertör;0,4 kW monofaze giriş, vektör kontrol, dahili fren kıyıcı + fren direnci;1;
TOPLAM (imalat çeliği);;;;18,66
