Parça;Boy (mm);Adet;Ağırlık (kg)
TABAN_SACI – lazer sac S235 900x600x10, 60 delik (TASLAK);;1;42,0
DIKME_ALT – kutu 40x40x3 (ayak + ek flanşı kaynaklı);1590;4;21,0
DIKME_UST – kutu 40x40x3 (ek flanşı kaynaklı);710;4;9,4
KOSE_PLAKASI – lazer sac 110x110x10, 3xØ11 + 2xØ10;;12;11,0
DESTEK_KULAGI – lazer sac 120x390x15;;4;21,1
KUSAK_ALT – kutu 40x20x2 (yan, düz kesim, kaynaklı);520;8;7,0
KUSAK_ALT – kutu 40x20x2 (ön/arka, düz kesim, kaynaklı);570;9;8,6
KUSAK_UST – kutu 40x20x2 (yan, düz kesim, kaynaklı);520;4;3,5
KUSAK_UST – kutu 40x20x2 (ön/arka, düz kesim, kaynaklı);570;6;5,7
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~33°);621;2;1,3
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~36°);644;2;1,3
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~31°);664;1;0,7
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~34°);685;1;0,7
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~46°);742;2;1,5
CAPRAZ_ALT – kutu 20x20x2, uçlar açılı kesim (~43°);778;1;0,8
CAPRAZ_UST – kutu 20x20x2, uçlar açılı kesim (~50°);817;2;1,7
CAPRAZ_UST – kutu 20x20x2, uçlar açılı kesim (~48°);850;1;0,9
SILINDIR_GOMLEK – boru 40x5 (iç Ø30), dip ve kafaya kaynaklı;870;1;3,8
PISTON_MILI – krom mil Ø20 h8;1025;1;2,5
STROK_SONU_HALKASI – Ø28x20, iki yağ geçiş düzlüğü (torna);;1;0,0
"SILINDIR_DIP_BLOGU – 50x50x40, 1/4"" BSP yan giriş (talaşlı)";;1;0,7
SILINDIR_AYAK_PLAKASI – lazer sac 80x80x10, 4xØ9;;1;0,5
SILINDIR_KAFA_GOVDESI – Ø55x35, iç M42x1,5 (torna, gömleğe kaynaklı);;1;0,3
SILINDIR_KAFA_KAPAGI – Ø55 flanş + M42 boyun, burç ve keçe yuvalı (torna, sökülür);;1;0,4
TANK – 3 mm sac 180x260x180, kaynaklı;;1;4,7
TANK_KAPAGI – lazer sac 200x280x10, motor/pompa delikli;;1;4,2
YAG_TAVASI – 1.5 mm sac 220x340x40 + 4 ayak (tabana M8);;1;1,5
KAPI_KASASI – 2 mm bükme sac U 30x40: 2 dikme 310 + başlık 240;;3;4,3
KAPI_KANADI – 1,5 mm sac tepsi 215x325x20, 30x180 cam yuvalı;;3;3,0
TOPLAM;32,62 m profil (40x40, 40x20, 20x20);80;164,1
