No;X (mm);Y (mm);Çap (mm);Görev
1;55,0;25,0;10;pim Ø10 (SOL_ON)
2;595,0;25,0;10;pim Ø10 (SAG_ON)
3;85,0;35,0;11;dikme ayağı M10 (SOL_ON)
4;565,0;35,0;11;dikme ayağı M10 (SAG_ON)
5;160,0;45,0;11;teker M10
6;240,0;45,0;11;teker M10
7;670,0;45,0;11;teker M10
8;750,0;45,0;11;teker M10
9;25,0;55,0;10;pim Ø10 (SOL_ON)
10;625,0;55,0;10;pim Ø10 (SAG_ON)
11;35,0;85,0;11;dikme ayağı M10 (SOL_ON)
12;85,0;85,0;11;dikme ayağı M10 (SOL_ON)
13;565,0;85,0;11;dikme ayağı M10 (SAG_ON)
14;615,0;85,0;11;dikme ayağı M10 (SAG_ON)
15;160,0;105,0;11;teker M10
16;240,0;105,0;11;teker M10
17;670,0;105,0;11;teker M10
18;750,0;105,0;11;teker M10
19;25,0;130,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ON)
20;95,0;130,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ON)
21;805,0;130,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ON)
22;875,0;130,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ON)
23;25,0;165,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ON)
24;95,0;165,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ON)
25;805,0;165,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ON)
26;875,0;165,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ON)
27;695,0;200,0;9;yağ tavası ayağı M8
28;865,0;200,0;9;yağ tavası ayağı M8
29;695,0;400,0;9;yağ tavası ayağı M8
30;865,0;400,0;9;yağ tavası ayağı M8
31;25,0;435,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ARKA)
32;95,0;435,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ARKA)
33;805,0;435,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ARKA)
34;875,0;435,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ARKA)
35;295,0;450,0;9;silindir ayağı M8
36;355,0;450,0;9;silindir ayağı M8
37;25,0;470,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ARKA)
38;95,0;470,0;11;destek kulağı M10 + üstte kaynak somunu (SOL_ARKA)
39;805,0;470,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ARKA)
40;875,0;470,0;11;destek kulağı M10 + üstte kaynak somunu (SAG_ARKA)
41;160,0;495,0;11;teker M10
42;240,0;495,0;11;teker M10
43;670,0;495,0;11;teker M10
44;750,0;495,0;11;teker M10
45;295,0;510,0;9;silindir ayağı M8
46;355,0;510,0;9;silindir ayağı M8
47;35,0;515,0;11;dikme ayağı M10 (SOL_ARKA)
48;85,0;515,0;11;dikme ayağı M10 (SOL_ARKA)
49;565,0;515,0;11;dikme ayağı M10 (SAG_ARKA)
50;615,0;515,0;11;dikme ayağı M10 (SAG_ARKA)
51;25,0;545,0;10;pim Ø10 (SOL_ARKA)
52;625,0;545,0;10;pim Ø10 (SAG_ARKA)
53;160,0;555,0;11;teker M10
54;240,0;555,0;11;teker M10
55;670,0;555,0;11;teker M10
56;750,0;555,0;11;teker M10
57;85,0;565,0;11;dikme ayağı M10 (SOL_ARKA)
58;565,0;565,0;11;dikme ayağı M10 (SAG_ARKA)
59;55,0;575,0;10;pim Ø10 (SOL_ARKA)
60;595,0;575,0;10;pim Ø10 (SAG_ARKA)
